BUG_ID,REPO_ID,BUG_TYPE,FILE_PATH,LINE_NUMBER,BUG_DESCRIPTION,LHDIFF_LINE_TRACING,START_COMMIT_ID,START_COMMIT_MSG,START_COMMIT_TIMESTAMP,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,END_COMMIT_ID,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP
repo_subfolder/xtensa/podemu_0,repo_subfolder/xtensa/podemu,RESOURCE_LEAK,app/src/main/java/com/rp/podemu/PodEmuLog.java,157,  resource of type `java.io.InputStreamReader` acquired by call to `new()` at line 156 is not released after line 157.,157,613515b1dd308b6c9b4e045d8d68c5ea39dac04a,* added driver/buffer size mapping,1444517446.0,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,END_COMMIT_ID,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP
repo_subfolder/xtensa/podemu_1,repo_subfolder/xtensa/podemu,RESOURCE_LEAK,app/src/main/java/com/rp/podemu/PodEmuLog.java,156,  resource of type `java.lang.Process` acquired to `process` by call to `exec(...)` at line 155 is not released after line 156.,156,613515b1dd308b6c9b4e045d8d68c5ea39dac04a,* added driver/buffer size mapping,1444517446.0,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,END_COMMIT_ID,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP
repo_subfolder/xtensa/podemu_0,repo_subfolder/xtensa/podemu,RESOURCE_LEAK,app/src/main/java/com/rp/podemu/PodEmuLog.java,157,  resource of type `java.io.InputStreamReader` acquired by call to `new()` at line 168 is not released after line 169.,169,613515b1dd308b6c9b4e045d8d68c5ea39dac04a,* added driver/buffer size mapping,1444517446.0,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,END_COMMIT_ID,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP
repo_subfolder/xtensa/podemu_1,repo_subfolder/xtensa/podemu,RESOURCE_LEAK,app/src/main/java/com/rp/podemu/PodEmuLog.java,156,  resource of type `java.lang.Process` acquired to `process` by call to `exec(...)` at line 167 is not released after line 168.,168,613515b1dd308b6c9b4e045d8d68c5ea39dac04a,* added driver/buffer size mapping,1444517446.0,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,END_COMMIT_ID,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP
repo_subfolder/xtensa/podemu_0,repo_subfolder/xtensa/podemu,RESOURCE_LEAK,app/src/main/java/com/rp/podemu/PodEmuLog.java,157,  resource of type `java.io.InputStreamReader` acquired by call to `new()` at line 172 is not released after line 173.,173,613515b1dd308b6c9b4e045d8d68c5ea39dac04a,* added driver/buffer size mapping,1444517446.0,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,END_COMMIT_ID,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP
repo_subfolder/xtensa/podemu_1,repo_subfolder/xtensa/podemu,RESOURCE_LEAK,app/src/main/java/com/rp/podemu/PodEmuLog.java,156,  resource of type `java.lang.Process` acquired to `process` by call to `exec(...)` at line 171 is not released after line 172.,172,613515b1dd308b6c9b4e045d8d68c5ea39dac04a,* added driver/buffer size mapping,1444517446.0,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,END_COMMIT_ID,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP
repo_subfolder/xtensa/podemu_2,repo_subfolder/xtensa/podemu,RESOURCE_LEAK,app/src/main/java/com/rp/podemu/PodEmuMediaStore.java,140,  resource of type `android.database.sqlite.SQLiteCursor` acquired by call to `rawQuery(...)` at line 138 is not released after line 140.,140,bf5c8a8aa77c0281483328b5b148d81f43a3abe2,* several bug fixed and stability improved,1452030878.0,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,END_COMMIT_ID,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP
repo_subfolder/xtensa/podemu_3,repo_subfolder/xtensa/podemu,RESOURCE_LEAK,app/src/main/java/com/rp/podemu/PodEmuMediaStore.java,144,  resource of type `android.database.sqlite.SQLiteCursor` acquired by call to `rawQuery(...)` at line 142 is not released after line 144.,144,bf5c8a8aa77c0281483328b5b148d81f43a3abe2,* several bug fixed and stability improved,1452030878.0,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,END_COMMIT_ID,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP
repo_subfolder/xtensa/podemu_4,repo_subfolder/xtensa/podemu,RESOURCE_LEAK,app/src/main/java/com/rp/podemu/PodEmuMediaStore.java,148,  resource of type `android.database.sqlite.SQLiteCursor` acquired by call to `rawQuery(...)` at line 146 is not released after line 148.,148,bf5c8a8aa77c0281483328b5b148d81f43a3abe2,* several bug fixed and stability improved,1452030878.0,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,END_COMMIT_ID,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP
repo_subfolder/xtensa/podemu_5,repo_subfolder/xtensa/podemu,RESOURCE_LEAK,app/src/main/java/com/rp/podemu/PodEmuMediaStore.java,152,  resource of type `android.database.sqlite.SQLiteCursor` acquired by call to `rawQuery(...)` at line 150 is not released after line 152.,152,bf5c8a8aa77c0281483328b5b148d81f43a3abe2,* several bug fixed and stability improved,1452030878.0,END_COMMIT_MSG,END_COMMIT_TIMESTAMP,END_COMMIT_ID,REMOVAL_COMMIT_ID,REMOVAL_COMMIT_MSG,REMOVAL_COMMIT_TIMESTAMP
